VID,Company
03F0_0121,HP 39G+ [F2224A] 39GS [F2223A] 40GS [F2225A] 48GII [F2226A] 49G+ [F2228A] 50G [F2229A NW240AA]
03F0_0122,HID INTERNET KEYBOARD
03F0_0125,DAT72 TAPE
03F0_0139,BARCODE SCANNER 4430
03F0_0201,SCANJET 6200C
03F0_0202,PHOTOSMART S20
03F0_0204,DESKJET 815C
03F0_0205,SCANJET 3300C
03F0_0207,CD-WRITER PLUS 8200E
03F0_020C,MULTIMEDIA KEYBOARD
03F0_0211,OFFICEJET G85
03F0_0212,DESKJET 1220C
03F0_0217,LASERJET 2200
03F0_0218,APOLLO P2500/2600
03F0_0221,STREAMSMART 400 [F2235AA]
03F0_0223,DIGITAL DRIVE FLASH READER
03F0_022A,LASERJET CP1525NW/X
03F0_0241,LINK-5 MICRO DONGLE
03F0_0304,DESKJET 810C/812C
03F0_0305,SCANJET 4300C
03F0_0307,CD-WRITER+ CD-4E
03F0_0311,OFFICEJET G85XI
03F0_0312,COLOR INKJET CP1700
03F0_0314,DESIGNJET 30/130 SERIES
03F0_0317,LASERJET 1200
03F0_0324,SK-2885 KEYBOARD
03F0_034A,ELITE KEYBOARD
03F0_0401,SCANJET 5200C
03F0_0404,DESKJET 830C/832C
03F0_0405,SCANJET 3400CSE
03F0_0411,OFFICEJET G95
03F0_0412,PRINTING SUPPORT
03F0_0417,LASERJET 1200 SERIES
03F0_0423,HS-COMBO CARDREADER
03F0_042A,LASERJET M1132 MFP
03F0_0441,PRIME [NW280AA G8X92AA]
03F0_0504,DESKJET 885C
03F0_0505,SCANJET 2100C
03F0_0507,DVD+RW
03F0_050C,5219 WIRELESS KEYBOARD
03F0_0511,OFFICEJET K60
03F0_0512,DESKJET 450
03F0_0517,LASERJET 1000
03F0_051D,BLUETOOTH INTERFACE
03F0_052A,LASERJET M1212NF MFP
03F0_0601,SCANJET 6300C
03F0_0604,DESKJET 840C
03F0_0605,SCANJET 2200C
03F0_0610,Z24I MONITOR HUB
03F0_0611,OFFICEJET K60XI
03F0_0612,BUSINESS INKJET 3000
03F0_0624,BLUETOOTH DONGLE
03F0_0641,X1200 OPTICAL MOUSE
03F0_0653,DESKJET 3700 SERIES
03F0_0701,SCANJET 5300C/5370C
03F0_0704,DESKJET 825C
03F0_0705,SCANJET 4400C
03F0_070C,PERSONAL MEDIA DRIVE
03F0_0711,OFFICEJET K80
03F0_0712,DESKJET 1180C
03F0_0714,PRINTING SUPPORT
03F0_0741,PRIME WIRELESS KIT [FOK65AA]
03F0_0801,SCANJET 7400C
03F0_0804,DESKJET 816C
03F0_0805,HP4470C
03F0_0811,OFFICEJET K80XI
03F0_0817,LASERJET 3300
03F0_0853,ENVY 5000 SERIES
03F0_0901,SCANJET 2300C
03F0_0904,DESKJET 845C
03F0_0912,PRINTING SUPPORT
03F0_0917,LASERJET 3330
03F0_0924,MODULAR SMARTCARD KEYBOARD
03F0_0941,X500 OPTICAL MOUSE
03F0_094A,OPTICAL MOUSE [672662-001]
03F0_0A01,SCANJET 2400C
03F0_0A17,COLOR LASERJET 3700
03F0_0B01,SCANJET 82X0C
03F0_0B0C,WIRELESS KEYBOARD AND OPTICAL MOUSE RECEIVER
03F0_0B17,LASERJET 2300D
03F0_0C17,LASERJET 1010
03F0_0C24,BLUETOOTH DONGLE
03F0_0D12,OFFICEJET 9100 SERIES
03F0_0D17,LASERJET 1012
03F0_0D4A,SK-2025 KEYBOARD
03F0_0E17,LASERJET 1015
03F0_0F0C,WIRELESS KEYBOARD AND OPTICAL MOUSE RECEIVER
03F0_0F11,OFFICEJET V40
03F0_0F12,PRINTING SUPPORT
03F0_0F17,LASERJET 1150
03F0_0F2A,LASERJET 400 COLOR M451DN
03F0_1001,PHOTO SCANNER 1000
03F0_1002,PHOTOSMART 140 SERIES
03F0_1004,DESKJET 970C/970CSE
03F0_1005,SCANJET 5400C
03F0_1011,OFFICEJET V40XI
03F0_1016,JORNADA 548 / IPAQ HW6515 POCKET PC
03F0_1017,LASERJET 1300
03F0_1024,SMART CARD KEYBOARD
03F0_1027,VIRTUAL KEYBOARD AND MOUSE
03F0_102A,LASERJET PROFESSIONAL P 1102W
03F0_1102,PHOTOSMART 240 SERIES
03F0_1104,DESKJET 959C
03F0_1105,SCANJET 5470C/5490C
03F0_1111,OFFICEJET V60
03F0_1116,JORNADA 568 POCKET PC
03F0_1117,LASERJET 1300N
03F0_1151,PSC-750XI PRINTER/SCANNER/COPIER
03F0_1198,HID-COMPLIANT MOUSE
03F0_1202,PHOTOSMART 320 SERIES
03F0_1204,DESKJET 930C
03F0_1205,SCANJET 4500C/5550C
03F0_1211,OFFICEJET V60XI
03F0_1217,LASERJET 2300L
03F0_1227,VIRTUAL CD-ROM
03F0_1302,PHOTOSMART 370 SERIES
03F0_1305,SCANJET 4570C
03F0_1311,OFFICEJET V30
03F0_1312,DESKJET 460
03F0_1317,LASERJET 1005
03F0_1327,ILO VIRTUAL HUB
03F0_134A,OPTICAL MOUSE
03F0_1405,SCANJET 3670
03F0_1411,PSC 750
03F0_1424,F2105 MONITOR HUB
03F0_1502,PHOTOSMART 420 SERIES
03F0_1504,DESKJET 920C
03F0_150C,MOOD LIGHTING (MICROCHIP TECHNOLOGY INC.)
03F0_1511,PSC 750XI
