VID, COMPANY
056F,KOREA DATA SYSTEMS CO. LTD
0570,EPSON AMERICA
0571,INTEREX INC.
0572,CONEXANT SYSTEMS (ROCKWELL) INC.
0573,ZORAN CO. PERSONAL MEDIA DIVISION (NOGATECH)
0574,CITY UNIVERSITY OF HONG KONG
0575,PHILIPS CREATIVE DISPLAY SOLUTIONS
0576,BAFO/QUALITY COMPUTER ACCESSORIES
0577,ELSA
0578,INTRINSIX CORP.
0579,GVC CORP.
057A,SAMSUNG ELECTRONICS AMERICA
057B,Y-E DATA INC.
057C,AVM GMBH
057D,SHARK MULTIMEDIA INC.
057E,NINTENDO CO. LTD
057F,QUICKSHOT LTD
0580,DENRON INC.
0581,RACAL DATA GROUP
0582,ROLAND CORP.
0583,PADIX CO. LTD (ROCKFIRE)
0584,RATOC SYSTEM INC.
0585,FLASHPOINT TECHNOLOGY INC.
0586,ZYXEL COMMUNICATIONS CORP.
0587,AMERICA KOTOBUKI ELECTRONICS INDUSTRIES INC.
0588,SAPIEN DESIGN
0589,VICTRON
058A,NOHAU CORP.
058B,INFINEON TECHNOLOGIES
058C,IN FOCUS SYSTEMS
058D,MICREL SEMICONDUCTOR
058E,TRIPATH TECHNOLOGY INC.
058F,ALCOR MICRO CORP.
0590,OMRON CORP.
0591,QUESTRA CONSULTING
0592,POWERWARE CORP.
0593,INCITE
0594,PRINCETON GRAPHIC SYSTEMS
0595,ZORAN MICROELECTRONICS LTD
0596,MICROTOUCH SYSTEMS INC.
0597,TRISIGNAL COMMUNICATIONS
0598,NIIGATA CANOTEC CO. INC.
0599,BRILLIANCE SEMICONDUCTOR INC.
059A,SPECTRUM SIGNAL PROCESSING INC.
059B,IOMEGA CORP.
059C,A-TREND TECHNOLOGY CO. LTD
059D,ADVANCED INPUT DEVICES
059E,INTELLIGENT INSTRUMENTATION
059F,LACIE LTD
05A0,VETRONIX CORP.
05A1,USC CORP.
05A2,FUJI FILM MICRODEVICES CO. LTD
05A3,ARC INTERNATIONAL
05A4,ORTEK TECHNOLOGY INC.
05A5,SAMPO TECHNOLOGY CORP.
05A6,CISCO SYSTEMS INC.
05A7,BOSE CORP.
05A8,SPACETEC IMC CORP.
05A9,OMNIVISION TECHNOLOGIES INC.
05AA,UTILUX SOUTH CHINA LTD
05AB,IN-SYSTEM DESIGN
05AC,APPLE INC.
05AD,Y.C. CABLE U.S.A. INC.
05AE,SYNOPSYS INC.
05AF,JING-MOLD ENTERPRISE CO. LTD
05B0,FOUNTAIN TECHNOLOGIES INC.
05B1,FIRST INTERNATIONAL COMPUTER INC.
05B4,LG SEMICON CO. LTD
05B5,DIALOGIC CORP.
05B6,PROXIMA CORP.
05B7,MEDIANIX SEMICONDUCTOR INC.
05B8,SYSGRATION
05B9,PHILIPS RESEARCH LABORATORIES
05BA,DIGITALPERSONA INC.
05BB,GREY CELL SYSTEMS
05BC,3G GREEN GREEN GLOBE CO. LTD
05BD,RAFI GMBH & CO. KG
05BE,TYCO ELECTRONICS (RAYCHEM)
05BF,S & S RESEARCH
05C0,KEIL SOFTWARE
05C1,KAWASAKI MICROELECTRONICS INC.
05C2,MEDIA PHONICS (SUISSE) S.A.
05C5,DIGI INTERNATIONAL INC.
05C6,QUALCOMM INC.
05C7,QTRONIX CORP.
05C8,CHENG UEI PRECISION INDUSTRY CO. LTD (FOXLINK)
05C9,SEMTECH CORP.
05CA,RICOH CO. LTD
05CB,POWERVISION TECHNOLOGIES INC.
05CC,ELSA AG
05CD,SILICOM LTD
05CE,SCI-WORX GMBH
05CF,SUNG FORN CO. LTD
05D0,GE MEDICAL SYSTEMS LUNAR
05D1,BRAINBOXES LTD
05D2,WAVE SYSTEMS CORP.
05D3,TOHOKU RICOH CO. LTD
05D5,SUPER GATE TECHNOLOGY CO. LTD
05D6,PHILIPS SEMICONDUCTORS CICT
05D7,THOMAS & BETTS CORP.
05D8,ULTIMA ELECTRONICS CORP.
05D9,AXIOHM TRANSACTION SOLUTIONS
05DA,MICROTEK INTERNATIONAL INC.
05DB,SUN CORP. (SUNTAC?)
05DC,LEXAR MEDIA INC.
05DD,DELTA ELECTRONICS INC.
05DF,SILICON VISION INC.
05E0,SYMBOL TECHNOLOGIES
05E1,SYNTEK SEMICONDUCTOR CO. LTD
05E2,ELECVISION INC.
05E3,GENESYS LOGIC INC.
05E4,RED WING CORP.
05E5,FUJI ELECTRIC CO. LTD
05E6,KEITHLEY INSTRUMENTS
05E8,ICC INC.
05E9,KAWASAKI LSI
05EB,FFC LTD
05EC,COM21 INC.
05EE,CYTECHINFO INC.
05EF,AVB INC. [ANKO?]
05F0,CANOPUS CO. LTD
05F1,COMPASS COMMUNICATIONS
05F2,DEXIN CORP. LTD
05F3,PI ENGINEERING INC.
05F5,UNIXTAR TECHNOLOGY INC.
05F6,AOC INTERNATIONAL
05F7,RFC DISTRIBUTION(S) PTE LTD
05F9,PSC SCANNING INC.
05FA,SIEMENS TELECOMMUNICATIONS SYSTEMS LTD
05FC,HARMAN
05FD,INTERACT INC.
05FE,CHIC TECHNOLOGY CORP.
05FF,LECROY CORP.
0600,BARCO DISPLAY SYSTEMS
0601,JAZZ HIPSTER CORP.
0602,VISTA IMAGING INC.
0603,NOVATEK MICROELECTRONICS CORP.
0604,JEAN CO. LTD
0605,ANCHOR C&C CO. LTD
0606,ROYAL INFORMATION ELECTRONICS CO. LTD
0607,BRIDGE INFORMATION CO. LTD
0608,GENRAD ADS
0609,SMK MANUFACTURING INC.
060A,WORTHINGTON DATA SOLUTIONS INC.
060B,SOLID YEAR
060C,EEH DATALINK GMBH
060D,AUCTOR CORP.
060E,TRANSMONDE TECHNOLOGIES INC.
060F,JOINSOON ELECTRONICS MFG. CO. LTD
0610,COSTAR ELECTRONICS INC.
0611,TOTOKU ELECTRIC CO. LTD
0613,TRANSACT TECHNOLOGIES INC.
0614,BIO-RAD LABORATORIES
0615,QUABBIN WIRE & CABLE CO. INC.
0616,FUTURE TECHNO DESIGNS PVT LTD
0617,SWISS FEDERAL INSITUTE OF TECHNOLOGY
0618,MACALLY
0619,SEIKO INSTRUMENTS INC.
061A,VERIDICOM INTERNATIONAL INC.
061B,PROMPTUS COMMUNICATIONS INC.
061C,ACT LABS LTD
061D,QUATECH INC.
061E,NISSEI ELECTRIC CO.
0620,ALARIS INC.
0621,ODU-STECKVERBINDUNGSSYSTEME GMBH & CO. KG
0622,IOTECH INC.
0623,LITTELFUSE INC.
0624,AVOCENT CORP.
0625,TIMEDIA TECHNOLOGY CO. LTD
0626,NIPPON SYSTEMS DEVELOPMENT CO. LTD
0627,ADOMAX TECHNOLOGY CO. LTD
0628,TASKING SOFTWARE INC.
0629,ZIDA TECHNOLOGIES LTD
062A,MOSART SEMICONDUCTOR CORP.
062B,GREATLINK ELECTRONICS TAIWAN LTD
062C,INSTITUTE FOR INFORMATION INDUSTRY
062D,TAIWAN TAI-HAO ENTERPRISES CO. LTD
062E,MAINSUPER ENTERPRISES CO. LTD
062F,SIN SHENG TERMINAL & MACHINE INC.
0631,JUJO ELECTRONICS CORP.
0633,CYRIX CORP.
0634,MICRON TECHNOLOGY INC.
0635,METHODE ELECTRONICS INC.
0636,SIERRA IMAGING INC.
0638,AVISION INC.
0639,CHRONTEL INC.
063A,TECHWIN CORP.
063B,TAUGAGREINING HF
063C,YAMAICHI ELECTRONICS CO. LTD (SAKURA)
063D,FONG KAI INDUSTRIAL CO. LTD
063E,REALMEDIA TECHNOLOGY INC.
063F,NEW TECHNOLOGY CABLE LTD
0640,HITEX DEVELOPMENT TOOLS
